cleaned job,Employment,Mean Hourly Wage,Mean Annual Wage,Median hourly wages
All occupations,132588810,22.33,46440,16.87
Management occupations,6542950,53.15,110550,45.96
Top executives,2278260,58.18,121010,48.22
Chief executives,248760,85.77,178400,82.5
General and operations managers,1973700,55.81,116090,46.36
Legislators,55800,-,39320,-
"Advertising, marketing, promotions, public relations, and sales managers",608470,59.92,124640,53.55
Advertising and promotions managers,28530,54.27,112870,45.13
Marketing and sales managers,526220,60.88,126640,54.61
Marketing managers,174010,64.28,133700,59.24
Sales managers,352220,59.21,123150,52.18
Public relations and fundraising managers,53730,53.49,111260,47.45
Operations specialties managers,1582020,54.88,114160,49.6
Administrative services managers,269500,43.36,90190,39.57
Computer and information systems managers,319080,63.74,132570,59.59
Financial managers,499320,60.89,126660,54.18
Industrial production managers,165340,47.78,99370,43.65
Purchasing managers,69620,52.71,109640,49.89
"Transportation, storage, and distribution managers",102610,43.86,91220,40.33
Compensation and benefits managers,17570,53.87,112040,48.79
Human resources managers,110650,53.45,111180,48.46
Training and development managers,28340,51.81,107770,47.5
Other management occupations,2074200,44.32,92180,40.21
"Farmers, ranchers, and other agricultural managers",3770,35.2,73210,33.71
Construction managers,213720,44.57,92700,40.58
Education administrators,431540,42.68,88780,40.31
"Education administrators, preschool and childcare center/program",47560,25,52010,21.58
"Education administrators, elementary and secondary school",226760,-,90670,-
"Education administrators, postsecondary",126340,48.37,100600,42.02
"Education administrators, all other",30880,39.99,83170,37.2
Architectural and engineering managers,183430,65.65,136540,61.62
Food service managers,191030,25.54,53130,23.12
Funeral service managers,8810,38.58,80250,32.89
Gaming managers,4460,35.46,73760,31.83
Lodging managers,30950,26.83,55810,22.51
Medical and health services managers,300180,48.72,101340,43.72
Natural sciences managers,51900,63.87,132850,56.17
Postmasters and mail superintendents,17930,31.89,66340,31.32
"Property, real estate, and community association managers",165960,30.9,64270,25.58
Social and community service managers,115330,31.61,65750,29.4
Emergency management directors,9800,32.28,67150,30.18
"Managers, all other",345390,52.11,108380,49.78
Business and financial operations occupations,6658090,34.14,71020,30.67
Business operations specialists,4137510,33.19,69030,30.36
"Agents and business managers of artists, performers, and athletes",11680,46.35,96410,31.01
Buyers and purchasing agents,408060,29.76,61900,27.71
"Buyers and purchasing agents, farm products",11290,29.07,60470,26.66
"Wholesale and retail buyers, except farm products",112290,27.99,58210,25.18
"Purchasing agents, except wholesale, retail, and farm products",284480,30.49,63420,28.74
"Claims adjusters, appraisers, examiners, and investigators",288680,29.99,62370,29.43
"Claims adjusters, examiners, and investigators",275500,29.97,62340,29.42
"Insurance appraisers, auto damage",13180,30.34,63100,29.65
Compliance officers,236090,32.1,66770,30.93
Cost estimators,202600,30.61,63660,28.59
Human resources workers,503940,29.21,60760,27.09
Human resources specialists,426570,29.6,61560,27.23
Farm labor contractors,1210,20.63,42920,17.03
Labor relations specialists,76160,27.2,56590,26.27
Logisticians,120340,36.7,76330,35.29
Management analysts,567840,43.26,89990,38.4
"Meeting, convention, and event planners",73290,24.13,50190,22.24
Fundraisers,50530,27.05,56270,24.8
"Compensation, benefits, and job analysis specialists",81520,30.44,63310,28.76
Training and development specialists,224110,29.22,60780,27.33
Market research analysts and marketing specialists,430350,32.59,67780,29.23
"Business operations specialists, all other",938480,34.42,71590,31.78
Financial specialists,2520580,35.71,74270,31.2
Accountants and auditors,1168330,34.86,72500,31.29
Appraisers and assessors of real estate,60210,27.42,57040,24.53
Budget analysts,58740,34.89,72560,33.71
Credit analysts,66490,34.9,72590,30.78
Financial analysts and advisors,526630,43.62,90730,35.86
Financial analysts,250670,44.05,91620,37.68
Personal financial advisors,183420,48.04,99920,36.21
Insurance underwriters,92540,33.71,70110,30.66
Financial examiners,30680,41.82,86980,36.97
Credit counselors and loan officers,329570,33.43,69540,28.41
Credit counselors,27710,21.62,44960,19.37
Loan officers,301860,34.52,71800,29.53
"Tax examiners, collectors and preparers, and revenue agents",132600,23.84,49590,21.25
"Tax examiners and collectors, and revenue agents",64790,26.98,56120,24.33
Tax preparers,67810,20.84,43350,16.98
"Financial specialists, all other",147330,32.76,68130,30.05
Computer and mathematical occupations,3696180,39.43,82010,37.43
Computer occupations,3573120,39.36,81860,37.42
Computer and information research scientists,24380,52.53,109260,51.1
Computer and information analysts,585120,41.4,86100,39.46
Computer systems analysts,507100,41.02,85320,39.03
Information security analysts,78020,43.85,91210,42.59
Software developers and programmers,1442500,44.63,92820,42.88
Computer programmers,312340,38.91,80930,36.6
"Software developers, applications",643830,46.28,96260,44.55
"Software developers, systems software",373510,50.23,104480,48.75
Web developers,112820,32.47,67540,30.37
Database and systems administrators and network architects,618480,39.88,82960,37.93
Database administrators,114910,38.82,80740,37.75
Network and computer systems administrators,362310,37.46,77910,35.58
Computer network architects,141270,46.97,97700,45.85
Computer support specialists,706360,25.8,53660,23.64
Computer user support specialists,541250,24.26,50450,22.41
Computer network support specialists,165100,30.85,64160,28.93
"Computer occupations, all other",196280,40.02,83240,39.59
Mathematical science occupations,123070,41.57,86470,37.72
Actuaries,20080,51.8,107740,45.35
Mathematicians,3030,49.67,103310,49.25
Operations research analysts,72680,39.26,81660,35.88
Statisticians,24950,40.05,83310,38.12
Miscellaneous mathematical science occupations,2330,31.22,64930,27.7
Mathematical technicians,1080,28.97,60260,26.07
"Mathematical science occupations, all other",1240,33.18,69000,29.24
Architecture and engineering occupations,2380840,38.51,80100,35.83
"Architects, surveyors, and cartographers",153200,34.51,71790,32.46
"Architects, except naval",100550,37.43,77850,34.92
Landscape architects,16330,32.97,68570,31.15
"Surveyors, cartographers, and photogrammetrists",52650,28.95,60210,27.47
Cartographers and photogrammetrists,11290,30.07,62540,28.29
Surveyors,41360,28.64,59570,27.21
Engineers,1547580,44.31,92170,41.96
Aerospace engineers,71500,50.7,105450,49.94
Agricultural engineers,2590,37.92,78880,35.79
Biomedical engineers,19890,45.18,93960,42.63
Chemical engineers,33300,50.16,104340,46.02
Civil engineers,262170,41.17,85640,38.83
Computer hardware engineers,77670,51.41,106930,50.12
Electrical and electronics engineers,303450,45.86,95380,43.92
Electrical engineers,168100,44.89,93380,42.88
"Electronics engineers, except computer",135350,47.05,97870,45.31
Environmental engineers,53020,41.12,85520,39.53
"Industrial engineers, including health and safety",254430,40,83190,38.55
"Health and safety engineers, except mining safety engineers and inspectors",23850,39.1,81320,37.89
Industrial engineers,230580,40.09,83390,38.61
Marine engineers and naval architects,6640,45.21,94040,43.05
Materials engineers,24190,43.23,89930,41.98
Mechanical engineers,258630,41.31,85930,39.47
"Mining and geological engineers, including mining safety engineers",7990,46.61,96950,41.76
Nuclear engineers,16400,51.38,106860,48.85
Petroleum engineers,34910,71.72,149180,63.62
"Engineers, all other",120810,45.34,94310,44.56
"Drafters, engineering technicians, and mapping technicians",680070,26.2,54490,25.21
Drafters,196460,25.79,53640,24.43
Architectural and civil drafters,88860,24.64,51250,23.46
Electrical and electronics drafters,29600,29.01,60350,27.53
Mechanical drafters,63180,26.21,54510,24.77
"Drafters, all other",14820,24.49,50930,22.92
"Engineering technicians, except drafters",435650,26.96,56080,26.22
Aerospace engineering and operations technicians,10540,30.07,62540,30.14
Civil engineering technicians,69830,23.74,49380,22.97
Electrical and electronics engineering technicians,141150,28.26,58770,28.15
Electro-mechanical technicians,15540,26.04,54160,24.68
Environmental engineering technicians,18020,23.64,49180,22.19
Industrial engineering technicians,68520,26.04,54170,25.01
Mechanical engineering technicians,46090,26.09,54280,25.19
"Engineering technicians, except drafters, all other",65960,29.78,61940,29.12
Surveying and mapping technicians,47950,20.93,43540,19.55
"Life, Physical, and Social Science Occupations",1135030,33.37,69400,29.26
Life Scientists,277080,38.11,79270,33.78
Agricultural and Food Scientists,30490,31.17,64830,28.63
Animal Scientists,2320,35.06,72930,30.89
Food Scientists and Technologists,15010,31.41,65340,28.67
Soil and Plant Scientists,13160,30.21,62830,28.36
Biological Scientists,100620,37.32,77630,34.04
Biochemists and Biophysicists,29110,44.06,91640,40.54
Microbiologists,19880,36.17,75230,32.61
Zoologists and Wildlife Biologists,18530,30.1,62610,27.61
"Biological Scientists, All Other",33100,36.14,75160,34.96
Conservation Scientists and Foresters,27810,29.76,61890,28.55
Conservation Scientists,18590,30.45,63330,29.43
Foresters,9220,28.37,59000,27.46
Medical Scientists,109620,42.98,89390,37.9
Epidemiologists,5350,35.11,73040,31.89
"Medical Scientists, Except Epidemiologists",104280,43.38,90230,38.39
"Life Scientists, All Other",8550,36.97,76900,32.18
Physical Scientists,276740,40.53,84300,36.32
Astronomers and Physicists,19090,55.98,116440,52.95
Astronomers,1750,53.09,110440,53.1
Physicists,17340,56.27,117040,52.94
Atmospheric and Space Scientists,10800,42.38,88140,41.84
Chemists and Materials Scientists,94950,37.88,78780,35.32
Chemists,87560,37.37,77740,34.79
Materials Scientists,7400,43.83,91160,42.63
Environmental Scientists and Geoscientists,128610,39.11,81360,34.03
"Environmental Scientists and Specialists, Including Health",87380,34.02,70770,31.29
"Geoscientists, Except Hydrologists and Geographers",34690,52.12,108420,44.19
Hydrologists,6540,38.11,79260,36.4
"Physical Scientists, All Other",23290,45.65,94950,44.82
Social Scientists and Related Workers,237770,35.92,74700,33.61
Economists,17230,48.78,101450,44.75
Survey Researchers,17370,25.58,53210,22.94
Psychologists,116390,35.73,74310,33.42
"Clinical, Counseling, and School Psychologists",104480,34.96,72710,32.58
Industrial-Organizational Psychologists,1040,42.29,87960,38.62
"Psychologists, All Other",10870,42.5,88400,43.82
Sociologists,2690,37.56,78120,34.82
Urban and Regional Planners,35940,32.66,67920,31.56
Miscellaneous Social Scientists and Related Workers,48160,37.84,78700,35.99
Anthropologists and Archeologists,6560,29.53,61420,28.06
Geographers,1480,36.09,75070,35.94
Historians,3200,28.85,60010,26.53
Political Scientists,5570,48.51,100900,48.52
"Social Scientists and Related Workers, All Other",31360,38.68,80450,36.91
"Life, Physical, and Social Science Technicians",343440,22,45770,20.16
Agricultural and Food Science Technicians,19390,17.79,37010,16.72
Biological Technicians,71590,21.02,43710,19.57
Chemical Technicians,63880,22.4,46590,20.82
Geological and Petroleum Technicians,15190,28.26,58780,25.68
Nuclear Technicians,6930,35.31,73450,34.91
Social Science Research Assistants,26830,19.92,41430,18.42
"Miscellaneous Life, Physical, and Social Science Technicians",139630,21.97,45710,20.33
Environmental Science and Protection Technicians,34510,21.86,45470,20.05
Forensic Science Technicians,13430,27.57,57340,26.13
Forest and Conservation Technicians,29740,18.13,37720,16.79
"Life, Physical, and Social Science Technicians, All Other",61950,22.67,47150,21.25
Community and Social Service Occupations,1901730,21.5,44710,19.62
"Counselors, Social Workers, and Other Community and Social Service Specialists",1830190,21.49,44690,19.62
Counselors,601300,22.99,47820,21.29
Substance Abuse and Behavioral Disorder Counselors,83120,19.75,41090,18.57
"Educational, Guidance, School, and Vocational Counselors",241870,27,56160,25.77
Marriage and Family Therapists,29060,24.85,51690,23.15
Mental Health Counselors,115580,21.01,43700,19.51
Rehabilitation Counselors,103840,18.1,37660,16.46
"Counselors, All Other",27830,22.28,46330,20.97
Social Workers,591240,23.25,48370,21.66
"Child, Family, and School Social Workers",276760,22.14,46060,20.25
Healthcare Social Workers,141830,25.25,52520,24.44
Mental Health and Substance Abuse Social Workers,110010,21.36,44420,19.7
"Social Workers, All Other",62640,26.95,56060,27.17
Miscellaneous Community and Social Service Specialists,637660,18.44,38350,16.51
Health Educators,56720,25.87,53800,23.66
Probation Officers and Correctional Treatment Specialists,86810,25.44,52910,23.29
Social and Human Service Assistants,355500,15.04,31280,14.05
Community Health Workers,45800,18.1,37640,16.64
"Community and Social Service Specialists, All Other",92830,20.52,42690,19.26
Religious Workers,71540,21.7,45130,19.65
Clergy,45020,22.86,47540,21.06
"Directors, religious activities and education",18600,21.27,44240,18.35
"Religious workers, all other",7920,16.11,33520,13.82
Legal Occupations,1041700,47.89,99620,36.59
"Lawyers, judges, and related workers",,,,53.66
Lawyers and judicial law clerks,603560,62.78,130580,54.24
Lawyers,592670,63.46,131990,54.95
Judicial law clerks,10890,25.91,53890,22.9
"Judges, magistrates, and other judicial workers",48280,46.48,96690,44.96
"Administrative law judges, adjudicators, and hearing officers",14270,43.09,89630,41.92
"Arbitrators, mediators, and conciliators",6830,36.94,76840,29.06
"Judges, magistrate judges, and magistrates",27190,50.66,105380,56.8
Legal support workers,389860,25.02,52040,22.76
Paralegals and legal assistants,271320,24.6,51170,22.87
Miscellaneous legal support workers,118540,25.97,54020,22.54
Court reporters,19200,26.33,54760,23.83
"Title examiners, abstractors, and searchers",53640,22.76,47340,20.59
"Legal support workers, all other",45700,29.6,61560,25.27
"Education, training, and library occupations",8400640,24.76,51500,22.19
Postsecondary teachers,1511280,(²),(²),(²)
"Business teachers, postsecondary",85220,(²),(²),(²)
"Math and computer teachers, postsecondary",89740,(²),(²),(²)
"Computer science teachers, postsecondary",35770,(²),(²),(²)
"Mathematical science teachers, postsecondary",53970,(²),(²),(²)
"Engineering and architecture teachers, postsecondary",42210,(²),(²),(²)
"Architecture teachers, postsecondary",7340,(²),(²),(²)
"Engineering teachers, postsecondary",34870,(²),(²),(²)
"Life sciences teachers, postsecondary",62500,(²),(²),(²)
"Agricultural sciences teachers, postsecondary",10120,(²),(²),(²)
"Biological science teachers, postsecondary",50230,(²),(²),(²)
"Forestry and conservation science teachers, postsecondary",2140,(²),(²),(²)
"Physical sciences teachers, postsecondary",50650,(²),(²),(²)
"Atmospheric, earth, marine, and space sciences teachers, postsecondary",10690,(²),(²),(²)
"Chemistry teachers, postsecondary",20820,(²),(²),(²)
"Environmental science teachers, postsecondary",5130,(²),(²),(²)
"Physics teachers, postsecondary",14010,(²),(²),(²)
"Social sciences teachers, postsecondary",119940,(²),(²),(²)
"Anthropology and archeology teachers, postsecondary",5920,(²),(²),(²)
"Area, ethnic, and cultural studies teachers, postsecondary",9700,(²),(²),(²)
"Economics teachers, postsecondary",13600,(²),(²),(²)
"Geography teachers, postsecondary",4400,(²),(²),(²)
"Political science teachers, postsecondary",17660,(²),(²),(²)
"Psychology teachers, postsecondary",40380,(²),(²),(²)
"Sociology teachers, postsecondary",17200,(²),(²),(²)
"Social sciences teachers, postsecondary, all other",11080,(²),(²),(²)
"Health teachers, postsecondary",220120,(²),(²),(²)
"Health specialties teachers, postsecondary",163850,(²),(²),(²)
"Nursing instructors and teachers, postsecondary",56270,(²),(²),(²)
"Education and library science teachers, postsecondary",67860,(²),(²),(²)
"Education teachers, postsecondary",63190,(²),(²),(²)
"Library science teachers, postsecondary",4670,(²),(²),(²)
"Law, criminal justice, and social work teachers, postsecondary",41240,(²),(²),(²)
"Criminal justice and law enforcement teachers, postsecondary",14870,(²),(²),(²)
"Law teachers, postsecondary",15600,(²),(²),(²)
"Social work teachers, postsecondary",10780,(²),(²),(²)
"Arts, communications, and humanities teachers, postsecondary",275820,(²),(²),(²)
"Art, drama, and music teachers, postsecondary",92930,(²),(²),(²)
"Communications teachers, postsecondary",29920,(²),(²),(²)
"English language and literature teachers, postsecondary",75320,(²),(²),(²)
"Foreign language and literature teachers, postsecondary",30590,(²),(²),(²)
"History teachers, postsecondary",23640,(²),(²),(²)
"Philosophy and religion teachers, postsecondary",23430,(²),(²),(²)
Miscellaneous postsecondary teachers,455970,(²),(²),(²)
Graduate teaching assistants,118820,(²),(²),(²)
"Home economics teachers, postsecondary",3870,(²),(²),(²)
"Recreation and fitness studies teachers, postsecondary",18820,(²),(²),(²)
"Vocational education teachers, postsecondary",121360,25.33,52680,23.22
"Postsecondary teachers, all other",193110,(²),(²),(²)
"Preschool, primary, secondary, and special education school teachers",4024430,(²),(²),(²)
Preschool and kindergarten teachers,510540,18.29,38040,16.06
"Preschool teachers, except special education",352730,15.11,31420,13.26
"Kindergarten teachers, except special education",157800,(²),(²),(²)
Elementary and middle school teachers,1984360,(²),(²),(²)
"Elementary school teachers, except special education",1344240,(²),(²),(²)
"Middle school teachers, except special and career/technical education",621970,(²),(²),(²)
"Career/technical education teachers, middle school",18150,(²),(²),(²)
Secondary school teachers,1031750,(²),(²),(²)
"Secondary school teachers, except special and career/technical education",946730,(²),(²),(²)
"Career/technical education teachers, secondary school",85020,(²),(²),(²)
Special education teachers,497780,(²),58050,(²)
"Special education teachers, preschool",24420,(²),55990,(²)
"Special education teachers, kindergarten and elementary school",198350,(²),56690,(²)
"Special education teachers, middle school",96770,(²),59540,(²)
"Special education teachers, secondary school",133490,(²),60410,(²)
"Special education teachers, all other",44750,(²),54920,(²)
Other teachers and instructors,1157660,17.88,37190,14.42
Adult basic and secondary education and literacy teachers,69880,25.89,53850,24.57
Self-enrichment education teachers,187180,19.56,40680,17.07
Miscellaneous teachers and instructors,900610,16.91,35170,13.61
Substitute teachers,630320,14.11,29350,12.42
"Teachers and instructors, all other, except substitute teachers",270290,(²),48750,(²)
"Librarians, curators, and archivists",258820,22.96,47750,21.63
"Archivists, curators, and museum technicians",26330,24.41,50770,22.1
Archivists,5560,25.32,52670,23.61
Curators,10910,26.74,55620,24.3
Museum technicians and conservators,9860,21.31,44330,19.24
Librarians,136510,27.67,57550,26.78
Library technicians,95980,15.86,33000,15.04
"Other education, training, and library occupations",1448450,(²),30460,(²)
Audio-visual and multimedia collections specialists,8840,22.52,46840,21.33
Farm and home management advisors,9120,23.56,49010,22.29
Instructional coordinators,133840,30.32,63070,29.14
Teacher assistants,1190720,(²),25570,(²)
"Education, training, and library workers, all other",105930,19.8,41190,17.65
"Arts, design, entertainment, sports, and media occupations",1758310,26.72,55580,21.45
Art and design workers,507370,24.63,51240,20.72
Artists and related workers,87240,36.19,75270,31.17
Art directors,32250,46.46,96650,39.9
Craft artists,4750,17.6,36600,14.62
"Fine artists, including painters, sculptors, and illustrators",11980,24.47,50900,20.48
Multimedia artists and animators,30790,34.81,72400,30.99
"Artists and related workers, all other",7470,28.11,58460,25.83
Designers,420130,22.23,46250,19.19
Commercial and industrial designers,28540,31.04,64570,29.99
Fashion designers,17370,35.37,73570,30.65
Floral designers,46490,12.55,26100,11.65
Graphic designers,194360,23.85,49610,21.55
Interior designers,43710,26.06,54200,23.32
Merchandise displayers and window trimmers,72590,14.39,29930,13.21
Set and exhibit designers,9750,25.96,53990,24.04
"Designers, all other",7330,25.34,52700,22.61
"Entertainers and performers, sports and related workers",488570,28.25,58750,18.97
"Actors, producers, and directors",155740,42.8,89020,30.48
Actors,63230,41.94,(²),22.15
Producers and directors,92510,43.38,90240,33.4
"Athletes, coaches, umpires, and related workers",236100,(²),39310,(²)
Athletes and sports competitors,13880,(²),71850,(²)
Coaches and scouts,206080,(²),37610,(²)
"Umpires, referees, and other sports officials",16140,(²),33020,(²)
Dancers and choreographers,17840,21.41,44540,16.9
Dancers,11540,20,(²),14.87
Choreographers,6300,24,49930,21.22
"Musicians, singers, and related workers",62450,29.92,(²),23.46
Music directors and composers,23190,26.23,54560,23.24
Musicians and singers,39260,32.1,(²),23.74
"Entertainers and performers, sports and related workers, all other",16440,25.69,(²),17.11
Media and communication workers,553780,28.61,59500,24.71
Announcers,38010,19.8,41190,13.61
Radio and television announcers,30530,20.1,41800,13.95
Public address system and other announcers,7480,18.6,38690,12.01
"News analysts, reporters and correspondents",48460,23.26,48380,17.71
Broadcast news analysts,4820,40.73,84710,29.07
Reporters and correspondents,43630,21.33,44360,17.11
Public relations specialists,202530,30.3,63020,26.41
Writers and editors,189680,31.81,66160,28.22
Editors,98790,30.2,62820,26.04
Technical writers,47300,33.8,70290,32.64
Writers and authors,43590,33.3,69250,27.77
Miscellaneous media and communication workers,75110,23.87,49650,20.83
Interpreters and translators,49060,23.04,47920,20.39
"Media and communication workers, all other",26040,25.44,52910,21.73
Media and communication equipment workers,208580,23.23,48320,19.15
Broadcast and sound engineering technicians and radio operators,98880,22.17,46110,19.56
Audio and video equipment technicians,56440,22.03,45830,19.83
Broadcast technicians,27800,20.02,41630,17.65
Radio operators,1160,21.74,45210,21.45
Sound engineering technicians,13480,27.22,56610,22.35
Photographers,54830,17.88,37190,14.08
"Television, video, and motion picture camera operators and editors",38780,29.87,62120,23.2
"Camera operators, television, video, and motion picture",16860,25.26,52530,20.45
Film and video editors,21920,33.41,69490,26.2
"Media and communication equipment workers, all other",16090,32,66570,32.52
Healthcare practitioners and technical occupations,7755810,35.93,74740,29.38
Health diagnosing and treating practitioners,4761110,44.87,93320,35.76
Chiropractors,28850,37.7,78410,31.4
Dentists,112300,81.19,168870,72.74
"Dentists, general",96000,79.12,164570,70.36
Oral and maxillofacial surgeons,5280,105.27,218960,(³)
Orthodontists,5570,94.36,196270,(³)
Prosthodontists,290,61.69,128310,43.87
"Dentists, all other specialists",5160,81.9,170340,78.58
Dietitians and nutritionists,59530,27.07,56300,26.88
Optometrists,32040,53.67,111640,48.7
Pharmacists,287420,56.01,116500,57.35
Physicians and surgeons,623380,92.25,191880,(³)
Anesthesiologists,30200,113.01,235070,(³)
Family and general practitioners,120860,88.43,183940,84.87
"Internists, general",46410,90.6,188440,89.83
Obstetricians and gynecologists,21730,102.2,212570,(³)
"Pediatricians, general",30890,81.98,170530,75.78
Psychiatrists,25040,87.82,182660,86.03
Surgeons,41030,112.09,233150,(³)
"Physicians and surgeons, all other",307220,90,187200,(³)
Physician assistants,88110,45.36,94350,44.7
Podiatrists,8850,64.94,135070,56.83
Therapists,600660,35.08,72970,34.21
Occupational therapists,108410,37.45,77890,36.99
Physical therapists,195670,39.51,82180,38.96
Radiation therapists,16950,39.3,81740,38.05
Recreational therapists,18640,21.88,45520,20.76
Respiratory therapists,118640,27.83,57880,27.06
Speech-language pathologists,125050,35.56,73970,34.04
Exercise physiologists,6010,23.46,48790,22.12
"Therapists, all other",11280,28.18,58610,26.61
Veterinarians,59230,46.22,96140,41.66
Registered nurses,2661890,33.13,68910,31.84
Nurse anesthetists,35430,75.81,157690,72.64
Nurse midwives,5460,44.34,92230,44.37
Nurse practitioners,113370,45.71,95070,44.55
Audiologists,11550,35.75,74360,34.22
"Health diagnosing and treating practitioners, all other",33070,41.69,86720,35.04
Health technologists and technicians,2849330,21.39,44480,19.65
Clinical laboratory technologists and technicians,319720,24.05,50020,23.43
Medical and clinical laboratory technologists,162630,28.59,59460,28.09
Medical and clinical laboratory technicians,157080,19.35,40240,18.26
Dental hygienists,192330,34.39,71530,34.19
Diagnostic related technologists and technicians,355290,28.73,59750,28.19
Cardiovascular technologists and technicians,51010,25.95,53990,25.58
Diagnostic medical sonographers,58250,32.29,67170,31.93
Nuclear medicine technologists,20020,34.6,71970,34.19
Radiologic technologists,194000,27.29,56760,26.54
Magnetic resonance imaging technologists,32000,31.71,65960,31.75
Emergency medical technicians and paramedics,237660,16.77,34870,15.04
Health practitioner support technologists and technicians,687480,16.17,33620,15.22
Dietetic technicians,26420,13.74,28580,12.32
Pharmacy technicians,362690,14.83,30840,14.25
Psychiatric technicians,66760,16.09,33470,14.37
Respiratory therapy technicians,12070,23.01,47850,22.61
Surgical technologists,97930,21.36,44420,20.54
Veterinary technologists and technicians,87870,15.27,31760,14.66
Ophthalmic medical technicians,33740,17.44,36280,16.8
Licensed practical and licensed vocational nurses,705200,20.63,42910,20.15
Medical records and health information technicians,180760,18.13,37710,16.81
"Opticians, dispensing",68390,17.17,35710,16.24
Miscellaneous health technologists and technicians,102500,22.7,47210,20.34
Orthotists and prosthetists,8330,34.01,70740,30.27
Hearing aid specialists,5170,23.03,47900,20.86
"Health technologists and technicians, all other",88990,21.62,44960,19.67
Other healthcare practitioners and technical occupations,145370,28.48,59230,26.8
Occupational health and safety specialists and technicians,76490,31.59,65710,30.83
Occupational health and safety specialists,62830,33.2,69050,32.67
Occupational health and safety technicians,13660,24.23,50390,22.78
Miscellaneous health practitioners and technical workers,68880,25.01,52030,22.2
Athletic trainers,22340,(²),44720,(²)
Genetic counselors,1980,30.19,62800,30.57
"Healthcare practitioners and technical workers, all other",44560,26.54,55210,23.37
Healthcare support occupations,3924390,13.61,28300,12.54
"Nursing, psychiatric, and home health aides",2361910,11.87,24700,11.22
"Nursing, psychiatric, and home health aides",2361910,11.87,24700,11.22
Home health aides,806710,10.6,22050,10.1
Psychiatric aides,75340,12.98,26990,12.08
Nursing assistants,1427830,12.51,26020,11.97
Orderlies,52030,12.66,26340,11.75
Occupational therapy and physical therapist assistants and aides,160430,21.19,44080,20.8
Occupational therapy assistants and aides,39160,23.75,49390,24.16
Occupational therapy assistants,30450,26.56,55250,26.57
Occupational therapy aides,8710,13.9,28900,12.67
Physical therapist assistants and aides,121270,20.37,42360,19.43
Physical therapist assistants,72640,25.63,53320,25.65
Physical therapist aides,48630,12.5,25990,11.69
Other healthcare support occupations,1402060,15.66,32570,14.92
Massage therapists,79040,19.42,40400,17.27
Miscellaneous healthcare support occupations,1323010,15.44,32110,14.83
Dental assistants,309540,17.13,35640,16.78
Medical assistants,571690,14.8,30780,14.24
Medical equipment preparers,51300,16.02,33320,15.25
Medical transcriptionists,68350,16.95,35260,16.63
Pharmacy aides,42250,11.78,24510,10.85
Veterinary assistants and laboratory animal caretakers,71800,12.07,25110,11.32
Phlebotomists,108210,15.1,31410,14.5
"Healthcare support workers, all other",99880,16.8,34950,16.42
Protective service occupations,3257690,20.92,43510,17.68
Supervisors of protective service workers,270500,33.03,68700,30.99
First-line supervisors of law enforcement workers,146300,36.64,76200,34.87
First-line supervisors of correctional officers,44980,29.59,61540,27.74
First-line supervisors of police and detectives,101320,39.76,82710,38.07
First-line supervisors of fire fighting and prevention workers,59700,34.94,72670,33.68
"First-line supervisors of protective service workers, all other",64510,23.08,48000,22.04
Fire fighting and prevention workers,316120,23.36,48580,22.09
Firefighters,302870,23.21,48270,21.92
Fire inspectors,13250,26.84,55820,25.57
Fire inspectors and investigators,11520,27.93,58100,26.66
Forest fire inspectors and prevention specialists,1730,19.54,40640,16.16
Law enforcement workers,1213870,26.44,54990,24.34
"Bailiffs, correctional officers, and jailers",449050,21.26,44220,19.01
Bailiffs,16360,19.53,40620,17.83
Correctional officers and jailers,432680,21.32,44350,19.02
Detectives and criminal investigators,109960,38,79030,36.89
Fish and game wardens,6640,24.27,50470,23.44
Parking enforcement workers,8790,17.9,37220,17.4
Police officers,639440,28.23,58720,26.99
Police and sheriff's patrol officers,635380,28.23,58720,26.99
Transit and railroad police,4060,27.98,58200,26.68
Other protective service workers,1457200,13.54,28160,11.7
Animal control workers,13590,16.29,33870,15.4
Private detectives and investigators,25820,25.91,53890,22.24
Security guards and gaming surveillance officers,1076980,13.26,27590,11.6
Gaming surveillance officers and gaming investigators,10260,15.37,31970,14.15
Security guards,1066730,13.24,27550,11.57
Miscellaneous protective service workers,340810,13.36,27780,11.53
Crossing guards,68050,12.75,26530,11.49
"Lifeguards, ski patrol, and other recreational protective service workers",130700,10.05,20890,9.16
Transportation security screeners,45790,17.98,37400,17.83
"Protective service workers, all other",96260,16.08,33450,14.43
Food preparation and serving related occupations,11914590,10.38,21580,9.15
Supervisors of food preparation and serving workers,950270,16.17,33640,14.53
Supervisors of food preparation and serving workers,950270,16.17,33640,14.53
Chefs and head cooks,107730,22.42,46620,20.43
First-line supervisors of food preparation and serving workers,842540,15.38,31980,14.09
Cooks and food preparation workers,2978730,10.61,22070,9.78
Cooks,2154650,10.79,22440,9.99
"Cooks, fast food",507940,9.07,18870,8.88
"Cooks, institution and cafeteria",399940,11.86,24670,11.14
