Unnamed: 0,"Table 1.7 Occupational projections, 2022–32, and worker characteristics, 2022 (Numbers in thousands)",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Original Occupation,Best Match,Degree of Match,Score,index,OCC_CODE,OCC_TITLE
,2022 National Employment Matrix title,Checked (HD), +,Initial analysis (Trade or not),Level of Uncertainty,Level of Uncertainty (FINAL RECODE) ,Notes,2022 National Employment Matrix code,Occupation type,"Employment, 2022","Employment, 2032","Employment change, numeric, 2022-32","Employment change, percent, 2022-32","Percent self employed, 2022","Occupational openings, 2022-32 annual average (numbers in thousands)","Median annual wage, 2023(1)",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation,2022 National Employment Matrix title,Materials Scientists,Suspicious Match,50.625,197,19-2032,Materials Scientists
,"Total, all occupations",False,,,,,,00-0000,Summary,164482.6,169148.1,4665.5,2.8,6,18566.5,48060,—,—,—,"Total, all occupations",All Occupations,Suspicious Match,70.27027027027026,0,00-0000,All Occupations
,  Management occupations,False,,,,,,11-0000,Summary,12574.7,13257.7,683,5.4,15.8,1053.1,116880,—,—,—,  Management occupations,Management Occupations,Similar Match,91.30434782608697,1,11-0000,Management Occupations
,    Top executives,False,,,,,,11-1000,Summary,3832.2,3958,125.8,3.3,1.8,315,103460,—,—,—,    Top executives,Top Executives,Similar Match,88.21428571428571,2,11-1000,Top Executives
,      Chief executives,False,,,,,,11-1011,Line item,280,257,-23,-8.2,21.2,15.3,206680,Bachelor's degree,5 years or more,,      Chief executives,Chief Executives,Similar Match,89.0625,3,11-1011,Chief Executives
,      General and operations managers,False,,,,,,11-1021,Line item,3507.8,3655.1,147.3,4.2,0.3,296.3,101280,Bachelor's degree,5 years or more,,      General and operations managers,General and Operations Managers,Similar Match,88.87096774193547,4,11-1021,General and Operations Managers
,      Legislators,False,,,,,,11-1031,Line item,44.4,46,1.5,3.4,—,3.4,47290,Bachelor's degree,Less than 5 years,,      Legislators,Legislators,Similar Match,90.0,5,11-1031,Legislators
,"    Advertising, marketing, promotions, public relations, and sales managers",False,,,,,,11-2000,Summary,1049.4,1102.2,52.8,5,3.5,85,139850,—,—,—,"    Advertising, marketing, promotions, public relations, and sales managers","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Similar Match,89.1891891891892,6,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers"
,      Advertising and promotions managers,False,,,,,,11-2011,Line item,30.9,31.4,0.6,1.9,27,2.8,131870,Bachelor's degree,Less than 5 years,,      Advertising and promotions managers,Advertising and Promotions Managers,Similar Match,89.57142857142857,7,11-2011,Advertising and Promotions Managers
,      Marketing and sales managers,False,,,,,,11-2020,Summary,912.9,959.1,46.2,5.1,2.9,74.4,141780,—,—,—,      Marketing and sales managers,Marketing and Sales Managers,Similar Match,88.21428571428571,8,11-2020,Marketing and Sales Managers
,        Marketing managers,False,,,,,,11-2021,Line item,358.2,381.9,23.7,6.6,5.3,31.2,157620,Bachelor's degree,5 years or more,,        Marketing managers,Marketing Managers,Similar Match,89.72222222222221,9,11-2021,Marketing Managers
,        Sales managers,False,,,,,,11-2022,Line item,554.7,577.2,22.5,4,1.3,43.2,135160,Bachelor's degree,Less than 5 years,,        Sales managers,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Similar Match,85.5,6,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers"
,      Public relations and fundraising managers,False,,,,,,11-2030,Summary,105.7,111.7,6,5.7,2.3,7.8,130480,—,—,—,      Public relations and fundraising managers,Public Relations and Fundraising Managers,Similar Match,88.04878048780488,11,11-2030,Public Relations and Fundraising Managers
,        Public relations managers,False,,,,,,11-2032,Line item,72,76.3,4.3,5.9,2.3,5.4,134760,Bachelor's degree,5 years or more,,        Public relations managers,Public Relations Managers,Similar Match,87.39999999999999,12,11-2032,Public Relations Managers
,        Fundraising managers,False,,,,,,11-2033,Line item,33.7,35.4,1.7,5.1,2.1,2.5,119200,Bachelor's degree,5 years or more,,        Fundraising managers,Fundraising Managers,Similar Match,90.25,13,11-2033,Fundraising Managers
,    Operations specialties managers,False,,,,,,11-3000,Summary,2455.5,2722.6,267.1,10.9,1.6,205.5,136170,—,—,—,    Operations specialties managers,Operations Specialties Managers,Similar Match,88.87096774193547,14,11-3000,Operations Specialties Managers
,      Administrative services and facilities managers,False,,,,,,11-3010,Summary,377.8,397.7,19.9,5.3,0.4,31.4,104900,—,—,—,      Administrative services and facilities managers,Administrative Services and Facilities Managers,Similar Match,88.93617021276596,15,11-3010,Administrative Services and Facilities Managers
,        Administrative services managers,False,,,,,,11-3012,Line item,250.8,264.9,14,5.6,—,21.1,106470,Bachelor's degree,Less than 5 years,,        Administrative services managers,Administrative Services Managers,Similar Match,89.0625,16,11-3012,Administrative Services Managers
,        Facilities managers,False,,,,,,11-3013,Line item,127,132.8,5.8,4.6,1.2,10.3,102340,Bachelor's degree,Less than 5 years,,        Facilities managers,Facilities Managers,Similar Match,90.0,17,11-3013,Facilities Managers
,      Computer and information systems managers,False,,,,,,11-3021,Line item,557.4,643.3,86,15.4,1.2,46.9,169510,Bachelor's degree,5 years or more,,      Computer and information systems managers,Computer and Information Systems Managers,Similar Match,88.04878048780488,18,11-3021,Computer and Information Systems Managers
,      Financial managers,False,,,,,,11-3031,Line item,792.6,919.2,126.6,16,2.5,69.6,156100,Bachelor's degree,5 years or more,,      Financial managers,Financial Managers,Similar Match,89.72222222222221,19,11-3031,Financial Managers
,      Industrial production managers,False,,,,,,11-3051,Line item,222.1,225.7,3.6,1.6,2.3,15.3,116970,Bachelor's degree,5 years or more,,      Industrial production managers,Industrial Production Managers,Similar Match,88.66666666666666,20,11-3051,Industrial Production Managers
,      Purchasing managers,False,,,,,,11-3061,Line item,77.5,80.9,3.4,4.4,1.7,6.1,136380,Bachelor's degree,5 years or more,,      Purchasing managers,Purchasing Managers,Similar Match,89.99999999999999,21,11-3061,Purchasing Managers
,"      Transportation, storage, and distribution managers",True,Other/TBD,Not Trade,Very Certain,OUT,currently classifying managers as tbd,11-3071,Line item,177.7,192.3,14.6,8.2,1.9,15.9,99200,High school diploma or equivalent,5 years or more,,"      Transportation, storage, and distribution managers","Transportation, Storage, and Distribution Managers",Similar Match,89.3,22,11-3071,"Transportation, Storage, and Distribution Managers"
,      Compensation and benefits managers,False,,,,,,11-3111,Line item,17.5,17.8,0.4,2.2,—,1.1,136380,Bachelor's degree,5 years or more,,      Compensation and benefits managers,Compensation and Benefits Managers,Similar Match,89.41176470588236,23,11-3111,Compensation and Benefits Managers
