,"Table 1.7 Occupational projections, 2022–32, and worker characteristics, 2022 (Numbers in thousands)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
57,"        Cooks, restaurant",False,Skilled Trade,Trade,Somewhat Certain,IN,,35-2014,Line item,1361.2,1638.9,277.6,20.4,—,252.4,35780,No formal educational credential,Less than 5 years,Moderate-term on-the-job training
90,        Nursing assistants,True,Skilled Trade,Trade,Somewhat Certain,IN,,31-1131,Line item,1361.3,1417.8,56.5,4.1,1.2,202.4,38200,Postsecondary nondegree award,,
100,"      Maintenance and repair workers, general",True,Skilled Trade,Trade,Very Certain,IN,,49-9071,Line item,1607.2,1664.4,57.2,3.6,0.9,152.4,46700,High school diploma or equivalent,,Moderate-term on-the-job training
151,        Medical assistants,True,Skilled Trade,Trade,Somewhat Certain,IN,they draw blood but also do admin work? This one is really on the line...,31-9092,Line item,764.4,870.2,105.9,13.9,0.1,114.6,42000,Postsecondary nondegree award,,
152,"        Hairdressers, hairstylists, and cosmetologists",True,Skilled Trade,Trade,Somewhat Certain,IN,Might need significant amount of training on the upper end,39-5012,Line item,555.8,598.6,42.8,7.7,46,82,34970,Postsecondary nondegree award,,
153,      Carpenters,True,Skilled Trade,Trade,Very Certain,IN,,47-2031,Line item,956.3,964.9,8.6,0.9,26.7,79.5,56350,High school diploma or equivalent,,Apprenticeship
154,      Electricians,True,Skilled Trade,Trade,Very Certain,IN,,47-2111,Line item,762.6,811.8,49.2,6.4,7.9,73.5,61590,High school diploma or equivalent,,Apprenticeship
156,      First-line supervisors of construction trades and extraction workers,True,Other/TBD,Not Trade,Somewhat Certain,IN,,47-1011,Line item,809.9,830.3,20.4,2.5,10,66.6,76760,High school diploma or equivalent,5 years or more,
157,      First-line supervisors of production and operating workers,True,Other/TBD,Not Trade,Somewhat Certain,IN,,51-1011,Line item,681.7,683.7,1.9,0.3,1.5,63.3,65930,High school diploma or equivalent,Less than 5 years,
158,      Licensed practical and licensed vocational nurses,True,Skilled Trade,Trade,Somewhat Certain,IN,,29-2061,Line item,655,689.9,34.9,5.3,0.8,54.4,59730,Postsecondary nondegree award,,
159,"      First-line supervisors of mechanics, installers, and repairers",True,Other/TBD,Not Trade,Somewhat Certain,IN,,49-1011,Line item,576.2,590.2,14,2.4,0,49.2,75820,High school diploma or equivalent,Less than 5 years,
